"","weir","Trap_Year","Species","Moved To Facility","Biological Sampling","Brood Stock","Distribution","Fisheries","General Holding","Natural Spawning","Nutrient Enhancement","Other","Recycled","Stray Relocation","Stray Removal","Stray Removal Distribution","Unknown","Within FINS Facility","Trap Mort","DOA","Killed","total_morts"
"251","Lostine River Weir",2009,"Bull Trout","NPT GRSME Program",NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"252","Lostine River Weir",2009,"Chinook","Lookingglass Fish Hatchery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,NA,NA,NA,NA
"253","Lostine River Weir",2009,"Chinook","NPT GRSME Program",NA,NA,23,NA,NA,706,NA,NA,NA,NA,NA,NA,NA,NA,8,0,23,31
"254","Lostine River Weir",2009,"Chinook","Wallowa Fish Hatchery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1583,NA,NA,NA,NA
"255","Lostine River Weir",2009,"Mtn White Fish","NPT GRSME Program",NA,NA,NA,NA,NA,10,2,NA,NA,NA,NA,NA,NA,NA,2,0,0,2
"256","Lostine River Weir",2009,"Rainbow Trout","NPT GRSME Program",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,0,0,1
"257","Lostine River Weir",2009,"Steelhead","NPT GRSME Program",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"258","Lostine River Weir",2010,"Bull Trout","NPT GRSME Program",NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259","Lostine River Weir",2010,"Chinook","Lookingglass Fish Hatchery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151,NA,NA,NA,NA
"260","Lostine River Weir",2010,"Chinook","NPT GRSME Program",NA,NA,2,273,NA,132,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,2
"261","Lostine River Weir",2010,"Mtn White Fish","NPT GRSME Program",NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"262","Lostine River Weir",2010,"Rainbow Trout","NPT GRSME Program",NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"263","Lostine River Weir",2010,"Steelhead","NPT GRSME Program",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"264","Lostine River Weir",2011,"Bull Trout","NPT GRSME Program",NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"265","Lostine River Weir",2011,"Chinook","Lookingglass Fish Hatchery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144,NA,NA,NA,NA
"266","Lostine River Weir",2011,"Chinook","NPT GRSME Program",NA,NA,11,197,NA,153,NA,NA,NA,NA,NA,NA,NA,NA,0,0,11,11
"267","Lostine River Weir",2011,"Mtn White Fish","NPT GRSME Program",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"268","Lostine River Weir",2011,"Rainbow Trout","NPT GRSME Program",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"269","Lostine River Weir",2011,"Steelhead","NPT GRSME Program",NA,NA,NA,NA,NA,245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"270","Lostine River Weir",2011,"Sucker","NPT GRSME Program",NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"271","Lostine River Weir",2012,"Bull Trout","NPT GRSME Program",NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"272","Lostine River Weir",2012,"Chinook","Lookingglass Fish Hatchery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142,NA,NA,NA,NA
"273","Lostine River Weir",2012,"Chinook","NPT GRSME Program",NA,NA,NA,NA,NA,971,1,NA,NA,NA,NA,NA,NA,NA,0,0,1,1
"274","Lostine River Weir",2012,"Chinook","Wallowa Fish Hatchery",NA,NA,182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,182,182
"275","Lostine River Weir",2012,"Mtn White Fish","NPT GRSME Program",NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"276","Lostine River Weir",2012,"Steelhead","NPT GRSME Program",NA,NA,NA,NA,NA,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"277","Lostine River Weir",2013,"Bull Trout","NPT GRSME Program",NA,NA,NA,NA,NA,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"278","Lostine River Weir",2013,"Chinook","Lookingglass Fish Hatchery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145,NA,NA,NA,NA
"279","Lostine River Weir",2013,"Chinook","NPT GRSME Program",NA,NA,1,NA,NA,241,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1
"280","Lostine River Weir",2013,"Chinook","Wallowa Fish Hatchery",NA,NA,417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,417,417
"281","Lostine River Weir",2013,"Mtn White Fish","NPT GRSME Program",NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
